"性","セイ"
"武尾","たけお"
"竹生","たけおい"
"竹岡","たけおか"
"竹丘","たけおか"
"武岡","たけおか"
"嶽岡","たけおか"
"竹折","たけおり"
"武笠","たけかさ"
"武方","たけかた"
"竹河","たけかわ"
"竹川","たけかわ"
"武川","たけかわ"
"竹垣","たけがき"
"武笠","たけがさ"
"竹形","たけがた"
"竹ヶ鼻","たけがはな"
"竹ケ原","たけがはら"
"竹ヶ原","たけがはら"
"竹上","たけがみ"
"武上","たけがみ"
"竹川","たけがわ"
"竹岸","たけきし"
"竹木田","たけきた"
"嶽北","たけきた"
"武木田","たけきだ"
"竹清","たけきよ"
"竹岸","たけぎし"
"竹国","たけくに"
"竹國","たけくに"
"竹熊","たけくま"
"武熊","たけくま"
"武隈","たけくま"
"竹倉","たけくら"
"竹口","たけぐち"
"武口","たけぐち"
"竹厚","たけこう"
"竹越","たけこし"
"竹腰","たけこし"
"竹河内","たけごうち"
"竹越","たけごし"
"竹腰","たけごし"
"竹坂","たけさか"
"竹崎","たけさき"
"武崎","たけさき"
"竹迫","たけさこ"
"武貞","たけさだ"
"竹崎","たけざき"
"武崎","たけざき"
"嶽崎","たけざき"
"竹迫","たけざこ"
"竹沢","たけざわ"
"竹澤","たけざわ"
"武沢","たけざわ"
"武澤","たけざわ"
"嶽澤","たけざわ"
"竹子","たけし"
"武","たけし"
"武士","たけし"
"武志","たけし"
"武鹿","たけしか"
"竹重","たけしげ"
"竹茂","たけしげ"
"武重","たけしげ"
"武繁","たけしげ"
"岳下","たけした"
"竹下","たけした"
"武下","たけした"
"竹科","たけしな"
"竹島","たけしま"
"竹嶋","たけしま"
"武島","たけしま"
"武嶋","たけしま"
"武城","たけしろ"
"竹治","たけじ"
"竹末","たけすえ"
"武居","たけすえ"
"武末","たけすえ"
"竹園","たけその"
"竹添","たけぞえ"
"竹園","たけぞの"
"竹田","たけた"
"武田","たけた"
"竹高","たけたか"
"竹田津","たけたず"
"竹達","たけたつ"
"竹田津","たけたつ"
"竹田津","たけたづ"
"竹谷","たけたに"
"武谷","たけたに"
"建田","たけだ"
"多気田","たけだ"
"多氣田","たけだ"
"竹多","たけだ"
"竹田","たけだ"
"武多","たけだ"
"武田","たけだ"
"武田川","たけだがわ"
"竹立","たけだち"
"竹知","たけち"
"竹地","たけち"
"武市","たけち"
"武知","たけち"
"武地","たけち"
"武智","たけち"
"竹津","たけつ"
"竹次","たけつぐ"
"武次","たけつぐ"
"竹綱","たけつな"
"竹爪","たけつめ"
"竹鶴","たけつる"
"岳藤","たけとう"
"武藤","たけとう"
"竹歳","たけとし"
"武富","たけとみ"
"武冨","たけとみ"
"竹友","たけとも"
"武富","たけどみ"
"竹留","たけどめ"
"竹名","たけな"
"竹苗","たけなえ"
"岳中","たけなか"
"竹中","たけなか"
"竹仲","たけなか"
"武中","たけなか"
"武仲","たけなか"
"竹永","たけなが"
"竹長","たけなが"
"武永","たけなが"
"武長","たけなが"
"竹波","たけなみ"
"竹並","たけなみ"
"竹浪","たけなみ"
"武南","たけなみ"
"武波","たけなみ"
"武並","たけなみ"
"武濤","たけなみ"
"竹縄","たけなわ"
"武縄","たけなわ"
"嵩西","たけにし"
"竹西","たけにし"
"竹貫","たけぬき"
"岳野","たけの"
"竹埜","たけの"
"竹野","たけの"
"武野","たけの"
"嶽野","たけの"
"竹野入","たけのいり"
"竹能","たけのう"
"竹ノ上","たけのうえ"
"竹上","たけのうえ"
"竹之上","たけのうえ"
"武野氏","たけのうじ"
"竹ノ内","たけのうち"
"竹内","たけのうち"
"竹之内","たけのうち"
"竹野内","たけのうち"
"武内","たけのうち"
"武之内","たけのうち"
"竹之木進","たけのきしん"
"炬口","たけのくち"
"竹之隈","たけのくま"
"竹ノ子","たけのこ"
"竹ノ下","たけのした"
"竹之下","たけのした"
"竹野下","たけのした"
"竹ノ鼻","たけのはな"
"竹延","たけのぶ"
"竹信","たけのぶ"
"武信","たけのぶ"
"竹延","たけのべ"
"竹ノ本","たけのもと"
"竹森","たけのもり"
"竹野谷","たけのや"
"竹乘","たけのり"
"竹ノ脇","たけのわき"
"竹橋","たけはし"
"竹端","たけはた"
"竹花","たけはな"
"竹端","たけはな"
"竹鼻","たけはな"
"武花","たけはな"
"竹浜","たけはま"
"嵩原","たけはら"
"竹原","たけはら"
"武原","たけはら"
"竹場","たけば"
"竹葉","たけば"
"武半","たけば"
"竹端","たけばた"
"竹花","たけばな"
"竹林","たけばやし"
"武林","たけばやし"
"竹樋","たけひ"
"武樋","たけひ"
"竹久","たけひさ"
"武久","たけひさ"
"竹平","たけひら"
"武平","たけひら"
"竹広","たけひろ"
"竹廣","たけひろ"
"武廣","たけひろ"
"竹生","たけふ"
"竹節","たけふし"
"竹藤","たけふじ"
"武藤","たけふじ"
"竹蓋","たけふた"
"竹渕","たけぶち"
"武渕","たけぶち"
"建部","たけべ"
"竹部","たけべ"
"竹辺","たけべ"
"武部","たけべ"
"武辺","たけべ"
"竹洞","たけほら"
"竹間","たけま"
"武馬","たけま"
"竹前","たけまえ"
"竹巻","たけまき"
"竹雅","たけまさ"
"竹政","たけまさ"
"武政","たけまさ"
"武正","たけまさ"
"竹増","たけます"
"竹股","たけまた"
"竹俣","たけまた"
"竹松","たけまつ"
"武松","たけまつ"
"竹丸","たけまる"
"武丸","たけまる"
"竹見","たけみ"
"竹味","たけみ"
"武見","たけみ"
"武甕","たけみか"
"竹光","たけみつ"
"武光","たけみつ"
"武満","たけみつ"
"武南","たけみなみ"
"竹宮","たけみや"
"武宮","たけみや"
"竹村","たけむら"
"竹邑","たけむら"
"武村","たけむら"
"武邑","たけむら"
"嶽村","たけむら"
"竹牟禮","たけむれ"
"嵩元","たけもと"
"竹元","たけもと"
"竹本","たけもと"
"武元","たけもと"
"武本","たけもと"
"嶽本","たけもと"
"竹森","たけもり"
"竹盛","たけもり"
"武守","たけもり"
"武森","たけもり"
"竹門","たけもん"
"竹屋","たけや"
"竹家","たけや"
"竹谷","たけや"
"武谷","たけや"
"竹安","たけやす"
"竹保","たけやす"
"武安","たけやす"
"竹薮","たけやぶ"
"竹山","たけやま"
"武山","たけやま"
"嶽山","たけやま"
"武鑓","たけやり"
"竹吉","たけよし"
"武吉","たけよし"
"竹輪","たけわ"
"武輪","たけわ"
"竹若","たけわか"
"武若","たけわか"
"竹脇","たけわき"
"武脇","たけわき"
"竹割","たけわり"
"田外","たげ"
"多胡","たこ"
"蛸","たこ"
"田子","たこ"
"鮹","たこ"
"蛸井","たこい"
"田光","たこう"
"田幸","たこう"
"田高","たこう"
"竹生田","たこうだ"
"田高良","たこうら"
"蛸島","たこしま"
"蛸島","たこじま"
"田古島","たこじま"
"蛸谷","たこたに"
"田子内","たこない"
"多湖","たご"
"多胡","たご"
"田悟","たご"
"田子","たご"
"夛湖","たご"
"田郷岡","たごおか"
"田極","たごく"
"田越","たごし"
"田篭","たごもり"
"田籠","たごもり"
"田頃家","たごや"
"田子山","たごやま"
"太佐","たさ"
"太斉","たさい"
"太齋","たさい"
"田才","たさい"
"田斎","たさい"
"田斉","たさい"
"田坂","たさか"
"田阪","たさか"
"多崎","たさき"
"太崎","たさき"
"田崎","たさき"
"田先","たさき"
"田作","たさく"
"田里","たさと"
"田崎","たざき"
"田沢","たざわ"
"田澤","たざわ"
"田塩","たしお"
"田志口","たしぐち"
"田下","たした"
"田染","たしぶ"
"田澁","たしぶ"
"田島","たしま"
"田嶋","たしま"
"田嶌","たしま"
"田下","たしも"
"多昌","たしょう"
"田生","たしょう"
"太城","たしろ"
"田城","たしろ"
"田代","たしろ"
"多司","たじ"
"多地","たじ"
"太治","たじ"
"丹比","たじ"
"田次","たじ"
"田路","たじ"
"多鹿","たじか"
"田近","たじか"
"田鹿","たじか"
"夛治川","たじかわ"
"但田","たじた"
"田実","たじつ"
"田實","たじつ"
"田地野","たじの"
"多島","たじま"
"多嶋","たじま"
"太島","たじま"
"但馬","たじま"
"田島","たじま"
"田嶋","たじま"
"田嶌","たじま"
"田嶼","たじま"
"夛島","たじま"
"多治見","たじみ"
"丹治","たじみ"
"田治見","たじみ"
"田治米","たじめ"
"田尻","たじり"
"多神田","たじんだ"
"田末","たすえ"
"田杉","たすぎ"
"田角","たすみ"
"田隅","たすみ"
"田隈","たすみ"
"尋木","たずのき"
"田隅","たずみ"
"多瀬","たせ"
"田瀬","たせ"
"田畝","たせ"
"田勢","たせ"
"田堰","たぜき"
"多造","たぞう"
"田雑","たぞう"
"田蔵","たぞう"
"田添","たぞえ"
"田副","たぞえ"
"多田井","たたい"
"田多井","たたい"
"湛","たたえ"
"田高","たたか"
"但木","たたき"
"田立","たたち"
"多谷","たたに"
"多々納","たたの"
"多々野","たたの"
"多田納","たたの"
"多々納","たたのう"
"畳","たたみ"
"多々見","たたみ"
"多田見","たたみ"
"太民","たたみ"
"畳谷","たたみたに"
"畳谷","たたみだに"
"疊屋","たたみや"
"多々良","たたら"
"多田羅","たたら"
"田々楽","たたら"
"鑪","たたら"
"鈩","たたら"
"田足井","たたらい"
"鑪迫","たたらざこ"
"鑪野","たたらの"
"多田","ただ"
"但田","ただ"
"田多","ただ"
"唯","ただ"
"夛田","ただ"
"多田井","ただい"
"忠井","ただい"
"唯井","ただい"
"只石","ただいし"
"忠石","ただいし"
"多田出","ただいで"
"多田内","ただうち"
"忠内","ただうち"
"忠海","ただうみ"
"只浦","ただうら"
"唯岡","ただおか"
"田高","ただか"
"忠垣","ただがき"
"只木","ただき"
"但木","ただき"
"唯木","ただき"
"多田隈","ただくま"
"只熊","ただくま"
"只隈","ただくま"
"只腰","ただこし"
"只左","たださ"
"唯島","ただしま"
"忠末","ただすえ"
"忠地","ただち"
"田立","ただち"
"忠津","ただつ"
"只友","ただとも"
"忠永","ただなが"
"多谷","ただに"
"多々納","ただの"
"多々野","ただの"
"多田野","ただの"
"只埜","ただの"
"只野","ただの"
"但野","ただの"
"唯野","ただの"
"野","ただの"
"多々納","ただのう"
"多多納","ただのう"
"只信","ただのぶ"
"唯藤","ただふじ"
"田玉","ただま"
"忠政","ただまさ"
"只松","ただまつ"
"多田見","ただみ"
"多田村","ただむら"
"只安","ただやす"
"館","たち"
"舘","たち"
"裁","たち"
"城","たち"
"多地","たち"
"太知","たち"
"太智","たち"
"太刀","たち"
"達","たち"
"田地","たち"
"立","たち"
"舘井","たちい"
"立井","たちい"
"立入","たちいり"
"立岩","たちいわ"
"釼内","たちうち"
"立岡","たちおか"
"舘川","たちかわ"
"多知川","たちかわ"
"太刀川","たちかわ"
"達川","たちかわ"
"田地川","たちかわ"
"刀川","たちかわ"
"立河","たちかわ"
"立川","たちかわ"
"立川目","たちかわめ"
"立木","たちき"
"立崎","たちざき"
"立迫","たちざこ"
"立澤","たちざわ"
"舘下","たちした"
"舘島","たちしま"
"立薗","たちぞの"
"舘谷","たちたに"
"舘田","たちだ"
"立中","たちなか"
"立浪","たちなみ"
"立成","たちなり"
"舘野","たちの"
"太刀野","たちの"
"刀野","たちの"
"立野","たちの"
"立原","たちはら"
"館花","たちばな"
"舘鼻","たちばな"
"橘","たちばな"
"多智花","たちばな"
"立花","たちばな"
"橘木","たちばなき"
"橘園","たちばなぞの"
"舘久","たちひさ"
"立部","たちべ"
"舘紅","たちべに"
"立堀","たちぼり"
"立道","たちみち"
"舘村","たちむら"
"立目","たちめ"
"田知本","たちもと"
"立元","たちもと"
"立本","たちもと"
"館盛","たちもり"
"舘森","たちもり"
"舘盛","たちもり"
"日月","たちもり"
"立森","たちもり"
"立谷","たちや"
"立矢","たちや"
"立屋敷","たちやしき"
"立山","たちやま"
"立脇","たちわき"
"立和田","たちわだ"
"田地","たぢ"
"田近","たぢか"
"田力","たぢから"
"田子","たっこ"
"達増","たっそ"
"達","たつ"
"辰井","たつい"
"辰亥","たつい"
"龍井","たつい"
"龍居","たつい"
"立石","たついし"
"辰市","たついち"
"辰馬","たつうま"
"辰尾","たつお"
"辰岡","たつおか"
"立岡","たつおか"
"龍岡","たつおか"
"龍興","たつおき"
"達家","たつか"
"立上","たつかみ"
"達川","たつかわ"
"辰川","たつかわ"
"立川","たつかわ"
"竜川","たつかわ"
"龍川","たつかわ"
"龍ヶ江","たつがえ"
"立神","たつがみ"
"龍神","たつがみ"
"立川","たつがわ"
"太附","たつき"
"達木","たつき"
"田付","たつき"
"田附","たつき"
"立木","たつき"
"龍城","たつき"
"立木","たつぎ"
"辰口","たつくち"
"辰口","たつぐち"
"竜口","たつぐち"
"龍口","たつぐち"
"田付","たつけ"
"田附","たつけ"
"立光","たつこう"
"龍腰","たつこし"
"立崎","たつざき"
"辰澤","たつざわ"
"立沢","たつざわ"
"立澤","たつざわ"
"竜澤","たつざわ"
"龍沢","たつざわ"
"龍澤","たつざわ"
"達下","たつした"
"辰島","たつしま"
"立島","たつしま"
"龍嶋","たつしま"
"達城","たつしろ"
"辰尻","たつじり"
"達田","たつた"
"辰田","たつた"
"立田","たつた"
"竜田","たつた"
"龍田","たつた"
"龍谿","たつたに"
"龍渓","たつだに"
"田続","たつづき"
"達富","たつとみ"
"達中","たつなか"
"瀧波","たつなみ"
"立浪","たつなみ"
"立成","たつなり"
"辰仁","たつに"
"達野","たつの"
"辰濃","たつの"
"辰野","たつの"
"田角","たつの"
"立野","たつの"
"龍野","たつの"
"龍ノ口","たつのくち"
"龍口","たつのくち"
"龍原","たつはら"
"立平","たつひら"
"田坪","たつぼ"
"立堀","たつぼり"
"辰間","たつま"
"辰馬","たつま"
"立間","たつま"
"選","たつみ"
"達身","たつみ"
"辰見","たつみ"
"辰己","たつみ"
"辰巳","たつみ"
"巽","たつみ"
"田積","たつみ"
"立見","たつみ"
"龍見","たつみ"
"龍湖","たつみ"
"辰巳砂","たつみさご"
"立道","たつみち"
"巽谷","たつみや"
"辰村","たつむら"
"龍村","たつむら"
"達本","たつもと"
"辰元","たつもと"
"辰本","たつもと"
"立元","たつもと"
"立本","たつもと"
"達家","たつや"
"達山","たつやま"
"立山","たつやま"
"竜山","たつやま"
"龍山","たつやま"
"辰吉","たつよし"
"達脇","たつわき"
"田月","たづき"
"田附","たづき"
"太附","たづけ"
"田附","たづけ"
"田津原","たづはら"
"田妻","たづま"
"田積","たづみ"
"田爪","たづめ"
"田鶴谷","たづや"
"田面","たづら"
"伊達","たて"
"館","たて"
"舘","たて"
"楯","たて"
"竪","たて"
"立","たて"
"立秋","たてあき"
"立井","たてい"
"館石","たていし"
"舘石","たていし"
"建石","たていし"
"楯石","たていし"
"竪石","たていし"
"立石","たていし"
"碣石","たていし"
"舘泉","たていずみ"
"館市","たていち"
"舘市","たていち"
"立入","たていり"
"立岩","たていわ"
"館内","たてうち"
"舘内","たてうち"
"立馬","たてうま"
"舘浦","たてうら"
"舘尾","たてお"
"立尾","たてお"
"館岡","たておか"
"舘岡","たておか"
"楯岡","たておか"
"立岡","たておか"
"立壁","たてかべ"
"建川","たてかわ"
"楯川","たてかわ"
"竪川","たてかわ"
"立川","たてかわ"
"立垣","たてがき"
"建守","たてがみ"
"建上","たてがみ"
"立上","たてがみ"
"立蔵","たてくら"
"舘坂","たてさか"
"舘澤","たてさわ"
"舘崎","たてざき"
"舘澤","たてざわ"
"立澤","たてざわ"
"立志","たてし"
"舘下","たてした"
"達下","たてした"
"建島","たてしま"
"立嶋","たてしま"
"立住","たてずみ"
"館田","たてだ"
"舘田","たてだ"
"建田","たてだ"
"楯田","たてだ"
"立田","たてだ"
"立町","たてちょう"
"立津","たてつ"
"舘寺","たてでら"
"蓼内","たてない"
"楯列","たてなみ"
"舘沼","たてぬま"
"蓼沼","たてぬま"
"館農","たての"
"館野","たての"
"舘野","たての"
"建野","たての"
"竪野","たての"
"立野","たての"
"立野井","たてのい"
"立橋","たてはし"
"建畠","たてはた"
"立畠","たてはた"
"館花","たてはな"
"舘花","たてはな"
"立原","たてはら"
"立場","たてば"
"館林","たてばやし"
"舘林","たてばやし"
"建林","たてばやし"
"楯林","たてばやし"
"達林","たてばやし"
"立林","たてばやし"
"舘久","たてひさ"
"立平","たてひら"
"立福","たてふく"
"立藤","たてふじ"
"建部","たてべ"
"立部","たてべ"
"立辺","たてべ"
"舘洞","たてほら"
"舘股","たてまた"
"立松","たてまつ"
"立枩","たてまつ"
"立見","たてみ"
"舘道","たてみち"
"竪道","たてみち"
"立道","たてみち"
"立光","たてみつ"
"立村","たてむら"
"建元","たてもと"
"建本","たてもと"
"竪本","たてもと"
"立元","たてもと"
"立本","たてもと"
"館盛","たてもり"
"舘盛","たてもり"
"楯谷","たてや"
"竪谷","たてや"
"館山","たてやま"
"舘山","たてやま"
"建山","たてやま"
"竪山","たてやま"
"立山","たてやま"
"立若","たてわか"
"館脇","たてわき"
"帯刀","たてわき"
"立脇","たてわき"
"蓼沼","たでぬま"
"蓼丸","たでまる"
"田出谷","たでや"
"田寺","たでら"
"多束","たとう"
"多東","たとう"
"田所","たところ"
"田鳥","たとり"
"多戸","たど"
"田戸","たど"
"田頭","たどう"
"田所","たどころ"
"田處","たどころ"
"田殿","たどの"
"田留","たどめ"
"棚網","たなあみ"
"田名網","たなあみ"
"棚井","たない"
"田内","たない"
"多苗","たなえ"
"田苗","たなえ"
"多中","たなか"
"太中","たなか"
"田中","たなか"
"田仲","たなか"
"田中井","たなかい"
"田中嶋","たなかじま"
"根武谷","たなかだて"
"田中館","たなかだて"
"田中舘","たなかだて"
"田中丸","たなかまる"
"田中屋敷","たなかやしき"
"田永","たなが"
"棚川","たながわ"
"川","たながわ"
"棚木","たなき"
"棚木原","たなきはら"
"棚倉","たなくら"
"田名後","たなご"
"棚沢","たなさわ"
"棚澤","たなさわ"
"棚沢","たなざわ"
"棚澤","たなざわ"
"棚瀬","たなせ"
"田名瀬","たなせ"
"棚谷","たなたに"
"多奈田","たなだ"
"棚田","たなだ"
"田灘","たなだ"
"田名田","たなだ"
"棚次","たなつぐ"
"棚野","たなの"
"柵橋","たなはし"
"棚橋","たなはし"
"店橋","たなはし"
"棚原","たなはら"
"田名場","たなば"
"棚橋","たなばし"
"七夕","たなばた"
"棚平","たなひら"
"田靡","たなびき"
"田名部","たなぶ"
"多鍋","たなべ"
"棚部","たなべ"
"棚辺","たなべ"
"棚邊","たなべ"
"棚邉","たなべ"
"田那部","たなべ"
"田那辺","たなべ"
"田鍋","たなべ"
"田南部","たなべ"
"田部","たなべ"
"田辺","たなべ"
"田名部","たなべ"
"田邊","たなべ"
"田邉","たなべ"
"田面","たなぼ"
"棚町","たなまち"
"多並","たなみ"
"田波","たなみ"
"田並","たなみ"
"田浪","たなみ"
"棚村","たなむら"
"店村","たなむら"
"田那村","たなむら"
"棚元","たなもと"
"棚山","たなやま"
"谷","たに"
"溪","たに"
"谷合","たにあい"
"谷嵐","たにあらし"
"谷位","たにい"
"谷井","たにい"
"谷爲","たにい"
"谷池","たにいけ"
"谷石","たにいし"
"谷泉","たにいずみ"
"谷一","たにいち"
"谷生","たにう"
"谷上","たにうえ"
"渓内","たにうち"
"谷内","たにうち"
"谷浦","たにうら"
"谷永","たにえ"
"谷江","たにえ"
"谷尾","たにお"
"谷岡","たにおか"
"谷奥","たにおく"
"谷利","たにかが"
"谷風","たにかぜ"
"谷方","たにかた"
"谷亀","たにかめ"
"谷河","たにかわ"
"谷川","たにかわ"
"谷賀","たにが"
"谷貝","たにがい"
"谷垣内","たにがいち"
"谷垣内","たにがいと"
"谷垣","たにがき"
"谷頭","たにがしら"
"谷釜","たにがま"
"谷上","たにがみ"
"谷河","たにがわ"
"谷川","たにがわ"
"谷川原","たにがわら"
"谷木","たにき"
"谷岸","たにぎし"
"谷倉","たにくら"
"谷口","たにぐち"
"溪口","たにぐち"
"谷越","たにこし"
"谷後","たにご"
"谷郷","たにごう"
"谷坂","たにさか"
"谷埼","たにさき"
"谷酒","たにさけ"
"谷迫","たにさこ"
"谷定","たにさだ"
"谷澤","たにさわ"
"谷崎","たにざき"
"谷沢","たにざわ"
"谷澤","たにざわ"
"田西","たにし"
"田螺","たにし"
"谷鋪","たにしき"
"谷重","たにしげ"
"谷繁","たにしげ"
"谷下","たにした"
"谷島","たにしま"
"谷嶋","たにしま"
"谷所","たにしょ"
"谷生","たにしょう"
"谷城","たにしろ"
"谷治","たにじ"
"谷嶋","たにじま"
"谷所","たにじょ"
"谷尻","たにじり"
"谷末","たにすえ"
"谷住","たにずみ"
"谷関","たにぜき"
"谷添","たにぞえ"
"谷田","たにた"
"谷田","たにだ"
"谷知","たにち"
"谷地","たにち"
"谷地田","たにちだ"
"谷津","たにつ"
"谷次","たにつぐ"
"谷津","たにづ"
"谷塚","たにづか"
"谷出","たにで"
"谷戸","たにと"
"谷所","たにどころ"
"谷名","たにな"
"谷内","たにない"
"谷中","たになか"
"谷波","たになみ"
"谷野","たにの"
"谷ノ上","たにのうえ"
"谷ノ口","たにのくち"
"谷端","たにはし"
"谷端","たにはた"
"谷幡","たにはた"
"谷畑","たにはた"
"谷原","たにはら"
"谷端","たにばた"
"谷林","たにばやし"
"谷東","たにひがし"
"谷平","たにひら"
"谷弘","たにひろ"
"谷藤","たにふじ"
"谷淵","たにぶち"
"谷渕","たにぶち"
"谷保","たにほ"
"谷坊","たにぼう"
"谷間","たにま"
"谷水","たにみず"
"谷道","たにみち"
"谷光","たにみつ"
"谷向","たにむかい"
"渓村","たにむら"
"谷村","たにむら"
"谷元","たにもと"
"谷本","たにもと"
"谷森","たにもり"
"谷屋","たにや"
"谷家","たにや"
"谷谷","たにや"
"谷山","たにやま"
"谷吉","たによし"
"谷利","たにり"
"谷輪","たにわ"
"谷和","たにわ"
"谷脇","たにわき"
"田主","たぬし"
"田沼","たぬま"
"種","たね"
"多根","たね"
"太根","たね"
"田根","たね"
"種井","たねい"
"多根井","たねい"
"種池","たねいけ"
"種石","たねいし"
"種市","たねいち"
"種稲","たねいね"
"種子尾","たねお"
"種生","たねおい"
"種岡","たねおか"
"種子島","たねがしま"
"種川","たねがわ"
"種帰","たねき"
"種清","たねきよ"
"種窪","たねくぼ"
"種蔵","たねくら"
"種子","たねこ"
"種五","たねご"
"種坂","たねさか"
"種崎","たねざき"
"種澤","たねざわ"
"種谷","たねたに"
"種子田","たねだ"
"種田","たねだ"
"種継","たねつぐ"
"種子野","たねの"
"種野","たねの"
"種橋","たねはし"
"種原","たねはら"
"種房","たねふさ"
"種部","たねべ"
"種村","たねむら"
"種邑","たねむら"
"種茂","たねも"
"種元","たねもと"
"種本","たねもと"
"胤森","たねもり"
"種谷","たねや"
"実山","たねやま"
"種山","たねやま"
"種綿","たねわた"
"多野","たの"
"田野","たの"
"田野井","たのい"
"田野入","たのいり"
"太農","たのう"
"田生","たのう"
"田能","たのう"
"田ノ上","たのうえ"
"田上","たのうえ"
"田之上","たのうえ"
"田内","たのうち"
"田之内","たのうち"
"田ノ岡","たのおか"
"田之岡","たのおか"
"田野岡","たのおか"
"田上","たのかみ"
"田之頭","たのがしら"
"田ノ口","たのくち"
"田之倉","たのくら"
"田野倉","たのくら"
"田之口","たのぐち"
"田野口","たのぐち"
"田野崎","たのさき"
"田野埼","たのさき"
"田之下","たのした"
"田野下","たのした"
"田之島","たのしま"
"田野島","たのしま"
"田下","たのしも"
"田野尻","たのしり"
"田野瀬","たのせ"
"田之中","たのなか"
"田野中","たのなか"
"田ノ畑","たのはた"
"田之畑","たのはた"
"田野畑","たのはた"
"田野原","たのはら"
"田野辺","たのべ"
"田野邊","たのべ"
"田野保","たのほ"
"田野実","たのみ"
"田能村","たのむら"
"田野村","たのむら"
"頼母木","たのもぎ"
"田ノ本","たのもと"
"田之本","たのもと"
"田之脇","たのわき"
"田橋","たはし"
"田畑","たはた"
"多原","たはら"
"太原","たはら"
"田原","たはら"
"田原口","たはらぐち"
"田原迫","たはらざこ"
"田場","たば"
"煙草","たばこ"
"多筥","たばこ"
"田筥","たばこ"
"多羽田","たばた"
"多幡","たばた"
"多畑","たばた"
"太葉田","たばた"
"田羽多","たばた"
"田旗","たばた"
"田端","たばた"
"田幡","たばた"
"田畑","たばた"
"田畠","たばた"
"把田","たばた"
"田花","たばな"
"多葉村","たばむら"
"多林","たばやし"
"田林","たばやし"
"田原","たばら"
"田原","たばる"
"多比良","たひら"
"田平","たひら"
"旅井","たびい"
"旅河","たびかわ"
"田引","たびき"
"旅田","たびた"
"田平","たびら"
"田開","たびらき"
"袋布","たふ"
"田福","たふく"
"田房","たふさ"
"田伏","たふし"
"田伏","たふせ"
"田古","たふる"
"椨","たぶ"
"田吹","たぶき"
"田袋","たぶくろ"
"田房","たぶさ"
"田伏","たぶし"
"田臥","たぶせ"
"田伏","たぶせ"
"多淵","たぶち"
"田縁","たぶち"
"田淵","たぶち"
"田渕","たぶち"
"田太","たぶと"
"天竺桂","たぶのき"
"椨木","たぶのき"
"多部","たべ"
"多辺","たべ"
"田倍","たべ"
"田部","たべ"
"田辺","たべ"
"田部井","たべい"
"多部田","たべた"
"田部谷","たべや"
"田邉谷","たべや"
"田縁","たべり"
"田甫","たほ"
"多宝","たほう"
"多保","たぼ"
"田保","たぼ"
"田甫","たぼ"
"田母神","たぼがみ"
"多保田","たぼた"
"玉麻","たま"
"田間","たま"
"田广","たま"
"玉伊","たまい"
"玉井","たまい"
"玉居","たまい"
"田舞","たまい"
"玉居子","たまいこ"
"玉石","たまいし"
"玉泉","たまいずみ"
"玉上","たまうえ"
"玉内","たまうち"
"玉浦","たまうら"
"玉栄","たまえ"
"玉江","たまえ"
"玉榮","たまえ"
"田前","たまえ"
"玉生","たまお"
"玉尾","たまお"
"玉岡","たまおか"
"玉沖","たまおき"
"玉置","たまおき"
"玉懸","たまかけ"
"玉柏","たまかし"
"玉川","たまかわ"
"玉飼","たまがい"
"玉垣","たまがき"
"玉掛","たまがけ"
"玉懸","たまがけ"
"玉上","たまがみ"
"玉河","たまがわ"
"玉川","たまがわ"
"環","たまき"
"玉樹","たまき"
"玉城","たまき"
"玉生","たまき"
"玉置","たまき"
"玉木","たまき"
"田巻","たまき"
"田牧","たまき"
"玉国","たまくに"
"玉國","たまくに"
"玉熊","たまくま"
"霊鞍","たまくら"
"玉城","たまぐすく"
"玉古","たまこ"
"玉越","たまこし"
"玉腰","たまこし"
"玉越","たまごし"
"玉崎","たまさき"
"玉作","たまさく"
"玉崎","たまざき"
"玉沢","たまざわ"
"玉澤","たまざわ"
"玉重","たましげ"
"玉島","たましま"
"玉城","たましろ"
"玉地","たまじ"
"田舛","たます"
"玉瀬","たませ"
"玉祖","たまそ"
"玉田","たまた"
"田又","たまた"
"玉谷","たまたに"
"玉田","たまだ"
"玉舘","たまだて"
"玉地","たまち"
"玉池","たまち"
"田町","たまち"
"玉津","たまつ"
"田松","たまつ"
"玉塚","たまつか"
"玉作","たまつくり"
"玉造","たまつくり"
"玉津島","たまつしま"
"玉手","たまて"
"玉中","たまなか"
"玉永","たまなが"
"玉那覇","たまなは"
"玉生","たまにう"
"玉西","たまにし"
"玉生","たまにゅう"
"玉貫","たまぬき"
"玉根","たまね"
"玉乃","たまの"
"玉野","たまの"
"珠野","たまの"
"玉ノ井","たまのい"
"玉乃井","たまのい"
"玉之井","たまのい"
"玉野井","たまのい"
"玉之内","たまのうち"
"玉橋","たまはし"
"玉原","たまはら"
"玉久","たまひさ"
"玉藤","たまふじ"
"玉舟","たまふね"
"玉鉾","たまほこ"
"玉堀","たまほり"
"玉真","たまま"
"玉眞","たまま"
"玉巻","たままき"
"玉丸","たままる"
"玉水","たまみず"
"玉光","たまみつ"
"玉峰","たまみね"
"玉虫","たまむし"
"玉蟲","たまむし"
"玉村","たまむら"
"玉邑","たまむら"
"珠村","たまむら"
"圭室","たまむろ"
"玉目","たまめ"
"玉元","たまもと"
"玉本","たまもと"
"玉森","たまもり"
"玉盛","たまもり"
"玉屋","たまや"
"玉舎","たまや"
